scientificName,individualCount,year,month,stateProvince,family,genus,decimalLatitude,decimalLongitude
Delias mysis,1,2023,5,Queensland,Pieridae,Delias,-17.3781,145.38465
Melanitis leda,2,2023,1,Queensland,Nymphalidae,Melanitis,-27.48516,152.9544
Papilio (Princeps) ulysses,1,2021,3,Queensland,Papilionidae,Papilio,-17.31242,145.5873
Junonia villida,1,2022,10,Queensland,Nymphalidae,Junonia,-27.53648,153.0607
Cupha prosope,2,2021,1,Queensland,Nymphalidae,Cupha,-17.31263,145.58708
Catopsilia pomona,1,2020,9,Queensland,Pieridae,Catopsilia,-16.47843,145.4636
Theclinesthes serpentatus,1,2022,10,Queensland,Lycaenidae,Theclinesthes,-25.64931,149.80769
Papilio (Princeps) aegeus,1,2023,3,Victoria,Papilionidae,Papilio,-37.7476,145.70708
Pieris rapae,1,2020,1,Tasmania,Pieridae,Pieris,-42.86363,147.32951
Theclinesthes onycha,4,2022,12,Queensland,Lycaenidae,Theclinesthes,-28.17035,153.53464
Junonia hedonia,1,2021,2,Queensland,Nymphalidae,Junonia,-17.31237,145.58728
Catopsilia pomona,5,2023,2,Queensland,Pieridae,Catopsilia,-17.31247,145.58736
Ocybadistes walkeri,1,2020,2,Victoria,Hesperiidae,Ocybadistes,-37.82435,145.20927
Eurema smilax,3,2022,10,Queensland,Pieridae,Eurema,-25.0626,148.2421
Cressida cressida,1,2021,1,Queensland,Papilionidae,Cressida,-18.6161,143.7663
Theclinesthes miskini,1,2020,4,Queensland,Lycaenidae,Theclinesthes,-17.3788,145.38465
Delias aganippe,1,2022,12,Western Australia,Pieridae,Delias,-31.99175,115.99624
Heteronympha merope,1,2022,1,New South Wales,Nymphalidae,Heteronympha,-33.0081,150.06863
Graphium choredon,1,2020,2,Queensland,Papilionidae,Graphium,-17.31244,145.58728
Delias ennia,1,2022,9,Queensland,Pieridae,Delias,-17.31243,145.58738
Catopsilia pomona,1,2021,12,Queensland,Pieridae,Catopsilia,-27.49167,153.02776
Zizina otis,2,2020,3,Queensland,Lycaenidae,Zizina,-27.40502,153.02842
Eurema hecabe,1,2020,6,New South Wales,Pieridae,Eurema,-30.35676,153.104293
Suniana sunias,1,2021,2,Queensland,Hesperiidae,Suniana,-17.31248,145.58727
Graphium choredon,8,2021,12,Queensland,Papilionidae,Graphium,-17.44791,145.85363
Catopsilia pyranthe,1,2020,3,Queensland,Pieridae,Catopsilia,-25.93476,152.62497
Eurema hecabe,3,2020,7,Queensland,Pieridae,Eurema,-18.8703,145.8917
Symbrenthia,1,2022,12,Queensland,Nymphalidae,Symbrenthia,-17.31175,145.58884
Belenois java,3,2019,11,New South Wales,Pieridae,Belenois,-35.34659,148.23641
